//fileLoc: inputData/dem20x20.png
//fluxMulti: 3.0 channelCutOff: 20
# 602

p 495 149 44.386322
p 495 148 45.327965
p 496 147 46.472034
p 495 146 48.05695

c 28 14.979387
p 487 211 16.029877
p 488 211 16.029877
p 489 212 17.02731
p 490 211 17.071367
p 490 210 17.071367
p 491 209 18.056234
p 492 208 18.056234
p 493 207 19.044416
p 494 206 20.01411
p 495 207 20.18431
p 496 206 21.071156
p 497 205 22.167316
p 498 205 22.329056
p 499 205 23.082687
p 500 204 23.43078
p 501 203 24.211458
p 501 202 25.083723
p 501 201 26.11382
p 502 200 28.089695
p 503 199 29.05643
p 504 198 31.009264

c 29 -13.028526
p 495 42 108.21884
p 496 41 106.021126
p 497 40 105.26237
p 498 39 103.42242
p 499 38 100.21077
p 499 37 98.01567
p 500 36 96.10913
p 501 35 95.449
p 502 35 95.10264
p 503 35 94.02678
p 504 34 93.39345
p 504 33 93.27631
p 504 32 93.27631
p 505 31 92.44667
p 506 32 92.285385
p 506 31 92.285385
p 507 30 93.17172
p 508 29 94.10524
p 509 28 95.09822
p 510 27 95.09822
p 509 26 95.190315

c 30 15.922432
p 497 247 10.163828
p 498 246 10.163828
p 499 246 11.022992
p 500 245 11.131087
p 501 244 11.131087
p 502 244 12.163493
p 503 243 12.3235
p 504 242 13.096529
p 503 241 13.131898
p 504 240 13.131898
p 505 239 14.165871
p 505 238 14.165871
p 506 237 15.001604
p 507 236 15.034247
p 508 237 15.034247
p 509 236 16.012335
p 509 235 16.012335
p 510 235 16.1775
p 511 234 17.23268
p 512 233 17.23268
p 513 233 17.285624
p 514 233 18.002008
p 515 232 19.105247
p 516 231 19.254223
p 517 230 20.191107
p 518 229 21.056925
p 518 228 21.47647
p 519 227 22.06019
p 519 226 23.44032
p 520 225 24.150324
p 520 224 24.150324
p 521 224 25.362106
p 522 223 26.08626

c 31 56.81974
p 500 144 50.429962
p 500 145 50.197643
p 500 146 50.197643
p 501 145 51.22177
p 502 144 53.36065
p 501 143 51.449684
p 501 142 52.4184
