//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

p 407 112 19.30286
p 408 112 19.469791
p 409 111 20.000948
p 410 110 20.184774
p 409 109 20.184774
p 410 108 21.272535
p 411 107 22.111174
p 412 106 22.292679
p 413 105 23.1523
p 414 104 24.069237
p 415 103 25.361204
p 416 102 26.480444
p 417 101 28.16237
p 418 100 30.03472
p 419 99 32.42719
p 420 98 33.326866
p 420 97 34.35654
p 419 96 36.097992
p 419 95 37.064003
p 419 94 37.376457
p 419 93 39.201878
p 420 92 41.02422
p 419 91 42.109844
p 420 90 44.112648
p 419 89 45.44807
p 418 88 46.064835

c 18 34.010544
p 408 133 12.182519
p 409 132 13.011424
p 410 131 13.426535
p 411 131 13.426535
p 412 131 14.013718
p 413 130 14.165435
p 414 131 15.15239
p 415 131 15.172104
p 416 131 15.172104
p 417 130 16.46638
p 418 129 17.227438
p 419 128 17.227438
p 420 129 18.025595
p 421 128 18.084412
p 422 127 19.306505
p 423 126 20.20451
p 424 125 21.07816
p 425 125 21.146545
p 426 124 22.094364
p 427 124 22.391655
p 428 123 23.15544
p 429 122 24.03354
p 429 121 24.358953
p 430 120 25.01761
p 430 119 26.032951
p 430 118 27.222801
p 431 117 28.027006
p 432 117 29.432262
p 433 116 30.323833
p 434 115 32.131577
p 435 114 34.470436
p 436 113 36.00486
p 436 112 37.211987
p 437 111 39.281925
p 436 111 39.14509
p 437 110 41.19734
p 438 111 41.396442
p 439 110 44.101196
p 438 109 44.058754
p 437 108 46.19306

c 19 17.986305
p 419 140 14.068157
p 419 141 14.068157
p 420 141 14.446707
p 421 140 15.295386
p 422 140 15.35511
p 423 140 16.01558
p 424 141 16.073698
p 425 140 16.126703
p 426 139 17.002722
p 425 138 16.238071
p 424 137 16.041523
p 423 136 16.030645
p 422 137 15.474271
p 421 136 15.220195
p 420 135 15.220195
p 421 135 16.042877
p 422 134 16.460058
p 423 133 17.055975
p 424 133 17.301844
p 425 132 18.249899
p 426 131 19.290703
p 427 131 20.021912
p 428 130 21.017342
p 429 129 22.014202
p 430 129 23.411602
p 431 128 24.011602
p 432 127 25.12453
p 433 127 26.488478
p 434 126 27.1078
p 434 125 29.30181
p 435 124 30.269787
p 436 123 32.054462

c 20 34.051506
p 422 52 55.199608
p 423 51 55.199608
p 423 50 56.215908
p 424 49 57.16951
p 424 48 59.03109
p 425 47 60.148697
p 426 46 62.04385
p 425 45 62.04385
p 426 44 63.179573
p 427 43 66.066895
p 426 42 67.380424
p 426 41 67.380424
p 427 40 68.31485
p 426 39 71.15709
p 427 38 73.06813
p 427 37 73.36565
p 427 36 74.35365
p 427 35 74.35365
p 428 34 77.21582
p 429 33 79.09432
p 428 32 80.093834
p 428 31 81.02998
p 429 30 83.13986
p 430 29 85.17004
p 431 28 87.18682
p 432 27 89.24369
p 433 28 89.251114
p 432 29 87.06653
p 431 30 85.270996
p 430 31 83.119804
p 429 32 81.09313

c 21 39.18647
p 422 99 32.04786
p 423 98 32.04786
p 424 99 34.025204
p 425 98 36.015705
p 426 98 37.046963
p 427 97 37.4855
p 428 97 39.407246
p 429 97 39.47421
p 430 96 40.409164
p 431 95 41.222607
p 432 94 44.158653
p 433 95 46.06677
p 434 95 47.110676
p 435 95 49.20814
p 436 96 51.254833
p 437 97 52.370056
p 438 97 54.285168
p 439 98 57.24449
p 440 97 60.028255
p 441 96 61.12199
p 442 97 62.398266
p 443 98 65.098526
p 444 97 67.276375
p 445 97 70.035866
p 446 96 71.23433

c 22 62.79329
p 424 50 56.27855
p 425 49 57.255405
p 426 48 59.422604
p 427 49 61.46144
p 428 50 64.07396
p 429 50 64.094086
p 430 49 64.094086
p 431 49 65.36548
p 432 48 67.0072
p 433 48 69.036095
p 434 47 71.00823
p 435 46 74.36618
p 436 45 77.31426
p 437 44 79.41879
p 438 44 82.02159
p 439 43 85.08073
p 440 43 87.04703
p 441 42 89.23526
p 442 41 90.47999
p 443 40 93.34731
p 444 41 96.215034
p 445 41 99.098076
p 446 41 100.21865
p 447 41 102.258606
p 448 41 103.04702
p 449 41 106.04431
p 450 41 108.42245
p 451 40 110.41733
p 452 40 112.15744
p 453 40 114.12701
p 454 39 117.21538
p 455 39 119.07184

c 23 22.90287
p 428 18 111.41594
p 429 19 110.38329
p 428 20 108.11863
p 428 21 105.111855
p 429 22 103.2508
p 430 23 99.325516
p 430 24 97.33812
p 431 25 95.25751
p 432 26 92.17454
p 433 26 91.38686
p 434 27 91.17394
p 435 26 93.08534
p 436 27 96.039894
p 437 26 96.29439
p 438 25 98.20653
p 439 26 101.02262
p 440 25 103.32144
p 441 25 105.258766
p 442 24 107.01097
p 443 23 109.30555
p 444 22 111.28187
p 445 22 114.07681

c 24 68.35464
p 429 61 57.124092
p 430 60 59.14525
p 430 59 62.278233
p 431 58 64.36188
p 432 57 66.3299
p 433 56 68.1288
p 434 55 70.09166
p 435 54 72.42909
p 436 53 75.07931
p 437 53 78.03359
p 438 52 79.47014
p 439 51 82.28976
p 440 51 84.007996
p 441 51 86.365074
p 442 51 88.205765
p 443 51 89.299835
p 444 51 92.050026
p 445 51 95.05884
p 446 52 96.16527
p 447 51 97.43973
p 448 50 98.319435
p 449 50 100.49423
p 450 50 103.328415
p 451 50 103.328415
p 452 49 105.22139
p 453 48 108.10613
p 454 49 110.06008
p 455 48 111.30792
p 456 48 113.470566
p 457 49 116.055595
p 458 48 118.35876
p 459 48 119.12659
p 460 47 121.1107
p 461 48 122.288795
p 462 47 124.19532
p 463 47 125.47873

c 25 29.07373
p 434 0 119.125824
p 435 0 118.17147
p 436 0 118.129265
p 437 0 117.363846
p 438 0 116.21532
p 439 0 116.21532
p 440 0 114.12719
p 441 0 113.364426
p 442 0 111.19147
p 443 0 110.15547
p 444 0 108.07998
p 445 0 105.145676
p 446 0 104.01353
p 447 0 102.28848
p 448 0 99.01119
