# 597

p 534 200 42.226
p 534 199 43.352684
p 534 198 44.342316
p 535 199 45.224194
p 536 198 45.447197
p 535 197 46.004616
p 536 196 47.38844
p 537 195 48.092976
p 538 196 50.036934
p 539 195 52.005783
p 532 207 33.37062
p 533 208 33.078686
p 532 208 32.34979

c 47 25.06855
p 534 225 28.017265
p 535 224 29.209763
p 536 223 30.034336
p 537 222 31.3367
p 536 221 32.341343
p 537 220 34.108463
p 538 219 35.207645
p 538 218 37.076912
p 539 217 39.0
p 540 216 40.282486
p 541 215 42.099358
p 542 214 43.4532
p 543 213 44.187622
p 544 213 45.008587
p 545 213 47.060776
p 546 212 48.332657
p 547 211 49.28939
p 548 211 51.094566
p 549 212 52.166603
p 550 211 53.085815

c 48 52.915527
p 537 136 105.15117
p 538 135 106.150734
p 538 134 107.354996
p 538 133 110.193504
p 538 132 112.32699
p 538 131 115.18008
p 538 130 117.29763
p 538 137 102.01068
p 537 138 100.217514
p 537 139 98.43006
p 537 140 96.478836
p 537 141 94.373795
p 537 142 92.10164
p 537 143 91.471634
p 537 144 89.205666
p 537 145 87.0376
p 537 146 84.1036
p 537 147 82.10757
p 538 148 80.39716
p 537 149 78.42942
p 537 150 76.03326
p 538 151 74.05663
p 539 152 71.14992
p 540 153 68.12915
p 540 154 68.054245
p 539 154 67.240005
p 539 155 67.17038
p 538 155 66.497986
p 538 156 65.09355
p 537 157 64.44515
p 537 158 64.3821

c 49 39.74716
p 547 119 120.246414
p 548 120 118.03889
p 548 121 117.11665
p 548 122 116.08462
p 548 123 115.13015
p 549 124 114.35163
p 548 125 113.12797
p 549 126 112.13589
p 550 127 110.20697
p 551 127 108.406685
p 552 128 106.038956
p 553 128 105.25191
p 553 129 104.03285
p 554 130 103.004814
p 554 131 102.28922
p 555 132 101.49802
p 556 133 99.14399
p 557 133 99.06784
p 557 134 98.19802
p 557 135 97.041885
p 557 136 96.190636
p 558 137 95.301414
p 557 138 93.05072
p 557 139 92.35961
p 557 140 91.02573
p 556 141 90.43493
p 556 142 90.05424
p 555 143 89.19027
p 556 144 89.0878
p 555 144 87.18964
p 554 145 86.41089
p 553 145 85.0917
p 552 146 84.46382
p 551 147 83.02222
p 550 147 80.49925

c 50 9.361998
p 549 256 26.048418
p 550 255 26.050251
p 551 255 26.094263
p 552 254 27.022535
p 553 253 28.143599
p 554 252 28.227354
p 554 251 29.015734
p 555 250 29.043463
p 556 249 30.180304
p 557 249 30.496307
p 558 248 31.087353
p 559 247 32.026875
p 560 246 32.348846
p 560 245 33.06886
p 561 244 33.123867
p 562 244 33.1504
p 563 243 34.280678
p 564 242 34.33989
p 563 241 35.410416

c 51 15.76524
p 551 198 51.237125
p 552 197 52.15466
p 553 197 53.185116
p 553 196 54.069225
p 553 195 54.216816
p 554 196 54.46432
p 555 195 55.002186
p 554 194 55.440987
p 555 193 56.226906
p 555 192 58.447395
p 556 192 59.114037
p 557 191 61.012897
p 557 190 62.47734
p 558 190 64.1301
p 557 189 64.27827
p 558 188 67.002365

c 52 37.96854
p 556 196 56.08961
p 557 197 58.368225
p 558 196 60.147167
p 559 197 61.098488
p 560 197 63.34248
p 561 198 65.13472
